"PolicyNumber","PolicyType","EffectiveDate","ExpirationDate","Status","EndorsementAmount","AddressLine","City","StateProvince","PostalCode","Country","Latitude","Longitude"
"JU42607076","Life Insurance","2025-09-12","2026-09-12","Policy Issued",381564.56,"194 Oak Ave","Chicago","IL","60601","USA",41.8827,-87.6233
"XN47925192","Life Insurance","2026-04-09","2027-04-09","Policy Cancelled",465706.74,"2809 Elm St","Boston","MA","02101","USA",42.3601,-71.0589
"BW85194489","Property Insurance","2026-07-28","2027-07-28","Policy Expired",403916.9,"7670 Elm St","Tucson","AZ","85701","USA",32.2217,-110.9265
"FT60988617","Property Insurance","2024-07-02","2025-07-02","Policy Cancelled",99172.24,"2679 Maple Dr","Little Rock","AR","72201","USA",34.7465,-92.2896
"YP64368969","Property Insurance","2025-05-28","2026-05-28","Policy Expired",222815.72,"6103 Maple Dr","Sacramento","CA","95801","USA",38.5816,-121.4944
"JU34914745","Auto Insurance","2024-05-28","2025-05-28","Policy Active",407483.95,"5960 First St","Anchorage","AK","99501","USA",61.2181,-149.9003
"FG49832281","Auto Insurance","2026-10-13","2027-10-13","Policy Expired",264516.77,"5631 Main St","Fresno","CA","93701","USA",36.7378,-119.7871
"ZO71292179","Health Insurance","2026-04-23","2027-04-23","Policy Active",284238.96,"6975 Pine St","Manchester","NH","03101","USA",42.9956,-71.4548
"DT69891099","Property Insurance","2024-10-06","2025-10-06","Policy Expired",133591.27,"1755 Elm St","Las Vegas","NV","89101","USA",36.1699,-115.1398
"FN39882934","Life Insurance","2026-08-30","2027-08-30","Policy Expired",302067.4,"7125 Pine St","Camden","NJ","08101","USA",39.9259,-75.1196
"ZA54573266","Auto Insurance","2025-09-06","2026-09-06","Policy Issued",51699.88,"5568 Maple Dr","Tulsa","OK","74101","USA",36.154,-95.9928
"EW50224499","Health Insurance","2026-10-01","2027-10-01","Policy Active",394834.74,"6119 Second Ave","Milwaukee","WI","53201","USA",43.0389,-87.9065
"GM20432631","Auto Insurance","2026-03-19","2027-03-19","Policy Expired",257081.27,"699 Main St","Raleigh","NC","27601","USA",35.7796,-78.6382
"QB51980301","Life Insurance","2026-06-01","2027-06-01","Policy Active",201449.51,"3814 Main St","Chicago","IL","60601","USA",41.8827,-87.6233
"FO59108243","Property Insurance","2025-11-06","2026-11-06","Policy Expired",87934.05,"4634 First St","New Orleans","LA","70112","USA",29.9511,-90.0715
"LJ39549283","Health Insurance","2025-08-15","2026-08-15","Policy Cancelled",32411.36,"9256 Oak Ave","Orlando","FL","32801","USA",28.5383,-81.3792
"FR07875205","Life Insurance","2024-06-17","2025-06-17","Policy Issued",422916.61,"996 Maple Dr","Fresno","CA","93701","USA",36.7378,-119.7871
"EQ22461225","Auto Insurance","2025-07-03","2026-07-03","Policy Expired",335877.03,"8406 Main St","Houston","TX","77001","USA",29.7589,-95.3677
"TW95091103","Life Insurance","2025-10-06","2026-10-06","Policy Expired",243829.46,"9930 Pine St","Houston","TX","77001","USA",29.7589,-95.3677
"QB82840130","Life Insurance","2024-07-30","2025-07-30","Policy Expired",401818.7,"9057 Oak Ave","Cheyenne","WY","82001","USA",41.14,-104.8197
"GB39983734","Auto Insurance","2026-06-13","2027-06-13","Policy Issued",94286.68,"4977 Main St","Chicago","IL","60601","USA",41.8827,-87.6233
